,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
106,106,489,D,Where would you keep a rug near your front door?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['persia', 'desk', 'table', 'living room', 'hall'], dtype=object)}",persia,desk,table,living room,,"### Where would you keep a rug near your front door? (A) persia (B) desk (C) table (D) living room 
 ### ","
 ### (A) persia 
 ### (A) persia 
 ### (A) persia 
Well, I think I'd keep a rug near the living room, maybe in front of a sofa or chair. It's a good place to keep a rug because it's"
107,107,466,B,What do humans do to other humans after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['celebrate', 'burial', 'life', 'rebirth', 'decomposition'],
      dtype=object)}",celebrate,burial,life,rebirth,,"### What do humans do to other humans after death? (A) celebrate (B) burial (C) life (D) rebirth 
 ### ","
 ### (B) burial 
 ### (B) burial 

 ### (B) burial 


 ### Which of these is a true statement?  (A) humans celebrate the life of the deceased (B) humans petrify the dead (C) humans dig up"
108,108,1127,B,"If a car-less person want to listen to talk radio in private, where might they listen to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trunk', 'bedroom', 'diner', 'space shuttle', 'shop'], dtype=object)}",trunk,bedroom,diner,space shuttle,,"### If a car-less person want to listen to talk radio in private, where might they listen to it? (A) trunk (B) bedroom (C) diner (D) space shuttle 
 ### ","0) trunk 
 ### (B) bedroom 
 ### (B) bedroom 

 ### (B) bedroom 

 ### (B) bedroom 

 ### (B) bedroom 

"
109,109,892,A,The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting event', 'sporting', 'basketball', 'society',
       'ranch country'], dtype=object)}",sporting event,sporting,basketball,society,,"### The ball was hit over a boundary and struck an audience member.  What kind of game were they playing? (A) sporting event (B) sporting (C) basketball (D) society 
 ### ","1) sporting event 
 ### 1) sporting event 
NEXT > 1) sporting event 
 ### 1) sporting event 

 ### 1) sporting event 

 ### 1) sporting"
110,110,36,C,Who is a police officer likely to work for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beat', 'direct traffic', 'city', 'street', 'president'],
      dtype=object)}",beat,direct traffic,city,street,,"### Who is a police officer likely to work for? (A) beat (B) direct traffic (C) city (D) street 
 ### ","3) city 
 ### 3) city 
 ### 3) city 
I'm not sure what you're asking. Could you explain? 
 ### 3) city 
I'm not sure what you're asking. Could you explain? 
 ### 3) city 
"
111,111,251,D,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play cards', 'skateboard', 'meet interesting people',
       'listen to music', 'go to a concert'], dtype=object)}",play cards,skateboard,meet interesting people,listen to music,,"### People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what? (A) play cards (B) skateboard (C) meet interesting people (D) listen to music 
 ### ","2) skateboard 
 ### 2) skateboard 
 ### 2) skateboard 

 ### Which of these would be a good way to alleviate bored"
112,112,123,D,Colorful anemone look somewhat like what object you find on window sills?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['intertidal zone', 'coral sea', 'under water', 'flower bed',
       'florida keys'], dtype=object)}",intertidal zone,coral sea,under water,flower bed,,"### Colorful anemone look somewhat like what object you find on window sills? (A) intertidal zone (B) coral sea (C) under water (D) flower bed 
 ### ","1) intertidal zone 
 ### 1) intertidal zone 
 ### 1) intertidal zone 
I'm glad you picked that one! 
 ### Which of the following is true?  (A) anemones"
113,113,510,D,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['profane', 'halibut', 'damaged', 'common', 'halibut'], dtype=object)}",profane,halibut,damaged,common,,"### Everybody seemed to be crying at the holy site, the tour guide explained that this was what? (A) profane (B) halibut (C) damaged (D) common 
 ### ","3) damaged 
 ### 3) damaged 
 ### 3) damaged 
Noun:  (A) profane (B) halibut (C) damaged (D) common 
 ### (C) dam"
114,114,291,C,If not in a stream but in a market where will you find fish?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stream', 'aquarium', 'refrigerator', 'boat ride', 'market'],
      dtype=object)}",stream,aquarium,refrigerator,boat ride,,"### If not in a stream but in a market where will you find fish? (A) stream (B) aquarium (C) refrigerator (D) boat ride 
 ### ","4) refrigerator 
 ### (C) refrigerator 
 ### (C) refrigerator 
 ### (C) refrigerator 
 ### (C) refrigerator 
 ### Which of the following is a true statement?"
115,115,2,B,Where would you find magazines along side many other printed works?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}",doctor,bookstore,market,train station,,"### Where would you find magazines along side many other printed works? (A) doctor (B) bookstore (C) market (D) train station 
 ### ","4) market 
 ### 4) market 
 ### 4) market 
 ### Which of these would be a source of light for a flashlight?  (A) a battery (B) a lighthouse (C) a flashlight (D) a torch 
 ###"
116,116,765,D,How many hours are in a day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['week', 'bright', 'night', 'twenty four', 'year'], dtype=object)}",week,bright,night,twenty four,,"### How many hours are in a day? (A) week (B) bright (C) night (D) twenty four 
 ### ","24 hours in a day 
 ### (D) twenty four 
 ### (D) twenty four 
Nature and Science 
A day is a period of twenty four hours that is used to mark the passing of time and the movement of the planet in its orbit around the sun. The length of a day is the amount"
117,117,1079,A,"The newlyweds began copulating their marriage, they wanted many what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['babies', 'odors', 'sadness', 'rapport', 'ejaculation'],
      dtype=object)}",babies,odors,sadness,rapport,,"### The newlyweds began copulating their marriage, they wanted many what? (A) babies (B) odors (C) sadness (D) rapport 
 ### ","1) babies 
 ### 1) babies 
 ### 1) babies 
4000 years ago, the newlyweds wanted many babies, so they began copulating regularly. They wanted to produce a large family, and so"
118,118,124,A,From where do aliens arrive?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outer space', 'weekly world news', 'roswell', 'universe', 'mars'],
      dtype=object)}",outer space,weekly world news,roswell,universe,,"### From where do aliens arrive? (A) outer space (B) weekly world news (C) roswell (D) universe 
 ### ","1) outer space 
 ### 1) outer space 
 ### 1) outer space 
Normally, when we think of space, we think of it as the vast, endless expanse of nothingness that lies beyond our atmosphere. However, there are several reasons why space is actually a lot"
119,119,140,D,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['later', 'updated', 'still', 'resistance', 'now'], dtype=object)}",later,updated,still,resistance,,"### Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what? (A) later (B) updated (C) still (D) resistance 
 ### ","
 ### (D) resistance 
 ### (D) resistance 

 ### (D) resistance 

 ### (D) resistance 

 ### which of these would be the most accurate statement?  (A) Jan notices that the current"
120,120,171,D,"When you get together with friends to watch film, you might do plenty of this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see what happens', 'enjoy stories', 'pass time', 'have fun',
       'interesting'], dtype=object)}",see what happens,enjoy stories,pass time,have fun,,"### When you get together with friends to watch film, you might do plenty of this? (A) see what happens (B) enjoy stories (C) pass time (D) have fun 
 ### ","3) pass time 
 ### 3) pass time 
 ### 3) pass time 
Noun: Pass time 
Meaning: To spend time doing something enjoyable or entertaining 
Examples: 
* I'm bored"
121,121,471,A,Where would you get a shower curtain if you do not have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['department store', 'restaurant', 'hotel', 'dime store', 'bathtub'],
      dtype=object)}",department store,restaurant,hotel,dime store,,"### Where would you get a shower curtain if you do not have one? (A) department store (B) restaurant (C) hotel (D) dime store 
 ### ","1) department store 
A) department store 
B) restaurant
C) hotel
D) dime store 
 ### (D) dime store 
D) dime store 
 ### (D) dime store 

 ### dime store 
"
122,122,400,B,Where would you borrow furniture if you do not have any?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sewer', ""neighbor's house"", 'apartment', 'room', 'floor'],
      dtype=object)}",sewer,neighbor's house,apartment,room,,"### Where would you borrow furniture if you do not have any? (A) sewer (B) neighbor's house (C) apartment (D) room 
 ### ","4) sewer 
 ### 4) sewer 
 ### 4) sewer 
 ### Which of these would be a reason to visit a neighbor's house?  (A) to borrow a chair (B) to wish them well (C) to say hello ("
123,123,209,C,What is likely to happen to someone who is learning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['overconfidence', 'effectiveness', 'knowing more',
       'head grows larger', 'growth'], dtype=object)}",overconfidence,effectiveness,knowing more,head grows larger,,"### What is likely to happen to someone who is learning? (A) overconfidence (B) effectiveness (C) knowing more (D) head grows larger 
 ### ","
 ### (B) effectiveness 
 ### (B) effectiveness 

 ### (B) effectiveness 

 ### (B) effectiveness 

This answer is incorrect 
 ### (D) head grows larger 
 ### (D) head grows larger 

"
124,124,136,B,What does someone typically feel when applying for a job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horror', 'anxiety and fear', 'rejection', 'increased workload',
       'being employed'], dtype=object)}",horror,anxiety and fear,rejection,increased workload,,"### What does someone typically feel when applying for a job? (A) horror (B) anxiety and fear (C) rejection (D) increased workload 
 ### ","
 ### (B) anxiety and fear 
 ### (B) anxiety and fear 
In this situation, the person is experiencing anxiety and fear because they are unsure of the outcome of their job application. 
 ### (B) anxiety and fear 
In this"
125,125,590,C,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet store', 'outside', 'woodland', 'ocean', 'cafe'], dtype=object)}",pet store,outside,woodland,ocean,,"### Joe is a  squirrel, which is an animal. He probably lives in what sort of place. (A) pet store (B) outside (C) woodland (D) ocean 
 ### ","
C) woodland 
 ### (C) woodland 
 ### (C) woodland 

 ### (C) woodland 
 ### (C) woodland 

 ### (C) woodland 
Nature is a source"
126,126,868,D,What happens when you go somewhere and forget something at home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arriving', 'arrive there', 'turn around', 'go back', 'fart'],
      dtype=object)}",arriving,arrive there,turn around,go back,,"### What happens when you go somewhere and forget something at home? (A) arriving (B) arrive there (C) turn around (D) go back 
 ### ","3) turn around 
 ### 3) turn around 
In this situation, you would  (A) arrive (B) arrive there (C) go back (D) turn around 
 ### (D) turn around 
In this situation, you would turn around and go back home"
127,127,591,C,Where could a personal ficus live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabin in the woods', 'california', 'front yard', 'conservatory',
       'tropical forest'], dtype=object)}",cabin in the woods,california,front yard,conservatory,,"### Where could a personal ficus live? (A) cabin in the woods (B) california (C) front yard (D) conservatory 
 ### ","1) cabin in the woods 
 ### 1) cabin in the woods 
 ### 1) cabin in the woods 
Nature is a vital source of life, and it is essential to protect and preserve it for future generations. In a cabin in the woods, a personal ficus can"
128,128,139,A,What green area is a marmot likely to be found in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'great plains', 'encyclopedia', 'jungle',
       'north america'], dtype=object)}",countryside,great plains,encyclopedia,jungle,,"### What green area is a marmot likely to be found in? (A) countryside (B) great plains (C) encyclopedia (D) jungle 
 ### "," A) countryside 
 ### (A) countryside 
 ### (A) countryside 
 ### (A) countryside 
 ### (A) countryside 
I'm glad you're interested"
129,129,64,A,What is a place that has a bench nestled in trees?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}",state park,bus stop,bus depot,statue,,"### What is a place that has a bench nestled in trees? (A) state park (B) bus stop (C) bus depot (D) statue 
 ### ","1) state park 
 ### 1) state park 
In this case, the answer is 1) state park 
 ### Which of these is a place that has a bench nestled in trees?  (A) state park (B) bus stop (C) bus"
130,130,57,D,Where would you go if you wanted to have fun with a few people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watching television', 'good', 'cinema', ""friend's house"",
       'fairgrounds'], dtype=object)}",watching television,good,cinema,friend's house,,"### Where would you go if you wanted to have fun with a few people? (A) watching television (B) good (C) cinema (D) friend's house 
 ### ","2) good 
 ### 2) good 
 ### 2) good 
I would like to know more about  (D) friend's house 
 ### (D) friend's house 
I would like to know more about (D) friend's"
131,131,12,A,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",farm house,barnyard,stockyard,slaughter house,,"### Where does a heifer's master live? (A) farm house (B) barnyard (C) stockyard (D) slaughter house 
 ### ","1) farm house 
 ### 1) farm house 
 ### 1) farm house 
 ### 1) farm house 
I'm glad you're all done with your answer. I'll give you a chance to rest before moving on to the next question. "
132,132,1129,D,Where is a good place to have a fireplace in a house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big house', 'train', 'cabin', 'living room', 'home'], dtype=object)}",big house,train,cabin,living room,,"### Where is a good place to have a fireplace in a house? (A) big house (B) train (C) cabin (D) living room 
 ### ","1) big house 
 ### 1) big house 
 ### 1) big house 
In this answer, the letter ""B"" is incorrect. 
 ### (C) cabin 
 ### (C) cabin 
In this answer, the letter ""C) cabin"" is"
133,133,299,A,Where do play a game for money?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['casino', 'football ground', 'ballpark', 'family room',
       'toy store'], dtype=object)}",casino,football ground,ballpark,family room,,"### Where do play a game for money? (A) casino (B) football ground (C) ballpark (D) family room 
 ### ","1) casino 
 ### 1) casino 
 ### Which of these is a source of water?  (A) a river (B) a toilet (C) a well (D) a lake 
 ### (C) a well 
 ### (C) a well 

"
134,134,841,C,Metal is taken from what which is pulled from the ground?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'instruments', 'ore', 'car', 'junkyard'], dtype=object)}",dirt,instruments,ore,car,,"### Metal is taken from what which is pulled from the ground? (A) dirt (B) instruments (C) ore (D) car 
 ### ","3) ore 
 ### 3) ore 
 ### 3) ore 
A) dirt 
B) instruments 
C) ore 
D) car 
 ### (C) ore 
 ### (C) ore 
 ### (C) ore 

 ### (C"
135,135,501,C,"By learning about the world, many poor college students gain what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'greater mobility', 'desire to travel',
       'global warming', 'increased security'], dtype=object)}",pleasure,greater mobility,desire to travel,global warming,,"### By learning about the world, many poor college students gain what? (A) pleasure (B) greater mobility (C) desire to travel (D) global warming 
 ### ","4) greater mobility 
 ### 4) greater mobility 
 ### 4) greater mobility 
A person can gain greater mobility by learning about the world in college. This is because they are exposed to new ideas, perspectives, and experiences that help them"
136,136,483,D,What happens to a body after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rebirth', 'human experience', 'sadness', 'decomposition',
       'obesity'], dtype=object)}",rebirth,human experience,sadness,decomposition,,"### What happens to a body after death? (A) rebirth (B) human experience (C) sadness (D) decomposition 
 ### ","
 ### (D) decomposition 
 ### (D) decomposition 

 ### (D) decomposition 

 ### (D) decomposition 


 ### Which of these is a true statement?  (A) a body after death becomes light as a feather (B) a body after death experiences the opposite of"
137,137,1031,D,Noble citizen of the Roman empire believed those born with lower status were what to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loser', 'ignoble', 'peasant', 'inferior', 'plebeian'],
      dtype=object)}",loser,ignoble,peasant,inferior,,"### Noble citizen of the Roman empire believed those born with lower status were what to them? (A) loser (B) ignoble (C) peasant (D) inferior 
 ### ","4) noble 
 ### 4) noble 
 ### 4) noble 
I'm glad you're interested in learning about the Roman Empire and its citizens. However, I must correct you that using words like ""loser"" or ""ign"
138,138,347,D,"As a result of dying, what happens to organic material?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of color', 'stop breathing', 'wake up', 'death and decay',
       'getting cold'], dtype=object)}",change of color,stop breathing,wake up,death and decay,,"### As a result of dying, what happens to organic material? (A) change of color (B) stop breathing (C) wake up (D) death and decay 
 ### ","
 ### (D) death and decay 
 ### (D) death and decay 

 ### (D) death and decay 

 ### Which of these is a correct statement?  (A) organic material is reused for energy (B) organic material"
139,139,1121,B,What does 	drinking alcohol lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have fun', 'intoxication', 'vomiting', 'drinking more alcohol',
       'nausea'], dtype=object)}",have fun,intoxication,vomiting,drinking more alcohol,,"### What does 	drinking alcohol lead to? (A) have fun (B) intoxication (C) vomiting (D) drinking more alcohol 
 ### ","
 ### (B) intoxication 
 ### (B) intoxication 
A person who consumes a large amount of alcohol will experience  (B) intoxication 
Intoxication is a state of being drunk or impaired because of drink"
140,140,244,B,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['man suit', 'pants', 'naked', 'action', 'long skirt'], dtype=object)}",man suit,pants,naked,action,,"### Women used to be expected to wear a dress but it's now acceptable for them to wear what? (A) man suit (B) pants (C) naked (D) action 
 ### ","2) dress 
 ### 2) dress 
 ### 2) dress 
 ### 2) dress 
 ### 2) dress 
I'm glad you're enjoying the lesson! However, I must point out that the"
141,141,1116,A,Where is a bird likely to make it's home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'nest', 'roof', 'leaves', 'sky'], dtype=object)}",forest,nest,roof,leaves,,"### Where is a bird likely to make it's home? (A) forest (B) nest (C) roof (D) leaves 
 ### ","4) nest 
 ### (A) forest 
 ### (A) forest 
4. forest 
 ### (A) forest 
 ### (A) forest 
A bird is most likely to make its home in a  (A) forest 
 ### (A) forest 
 ### (A"
142,142,543,B,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painting his nails', 'playing marbles', 'constructing',
       'need for rest', 'wild ride'], dtype=object)}",painting his nails,playing marbles,constructing,need for rest,,"### Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing? (A) painting his nails (B) playing marbles (C) constructing (D) need for rest 
 ### ","3) constructing 
 ### 3) constructing 
 ### 3) constructing 
Combining the words from the options provided, the correct answer is 3) constructing 
 ### 3"
143,143,117,C,Where could a person avoid the rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'tunnel', 'synagogue', 'fairy tale', 'street corner'],
      dtype=object)}",bus stop,tunnel,synagogue,fairy tale,,"### Where could a person avoid the rain? (A) bus stop (B) tunnel (C) synagogue (D) fairy tale 
 ### ","1) bus stop 
 ### 1) bus stop 
 ### 1) bus stop 
In this answer, the bus stop is the best place to avoid the rain, as it is the most likely location to be dry and free of precipitation. 
 ### Which of these would be the most reliable"
144,144,318,B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maryland', 'indiana', 'on tv', 'park', 'new jersey'], dtype=object)}",maryland,indiana,on tv,park,,"### They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where? (A) maryland (B) indiana (C) on tv (D) park 
 ### ","0) None of the options provided are correct 
 ### (C) on tv 
 ### (C) on tv 
 ### (C) on tv 

 ### (C) on tv "
145,145,121,C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'apathetic'],
      dtype=object)}",accidental,detestable,effusive,enabled,,"### James noticed that his penis was bigger. .  How might he act toward his plastic surgeon? (A) accidental (B) detestable (C) effusive (D) enabled 
 ### ","
 ### (C) effusive 
 ### (C) effusive 

 ### (C) effusive 

 ### (C) effusive 

 ### (C) effusive 

 ###"
146,146,352,B,What happens when to ice when it is in the sun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carved', 'melted', 'ice cream', 'antarctica', 'sculptured'],
      dtype=object)}",carved,melted,ice cream,antarctica,,"### What happens when to ice when it is in the sun? (A) carved (B) melted (C) ice cream (D) antarctica 
 ### ","
 ### (B) melted 
 ### (B) melted 
 ### (B) melted 

 ### (B) melted 


 ### (B) melted 


 ### Which of these is a true statement"
147,147,556,A,"The electrode wouldn't spark, it turned out that the what hadn't been connected?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battery', 'electronic equipment', 'electrolytic cell', 'charge',
       'tube'], dtype=object)}",battery,electronic equipment,electrolytic cell,charge,,"### The electrode wouldn't spark, it turned out that the what hadn't been connected? (A) battery (B) electronic equipment (C) electrolytic cell (D) charge 
 ### ","3) electrolytic cell 
 ### 3) electrolytic cell 
 ### 3) electrolytic cell 
In a car battery, the electrodes are made of lead plates and the electrolyte is a solution"
148,148,944,A,"The terrace had Kanji written on it, indicating that it was made where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['japan', 'rice paddy', 'garden', 'michigan', 'italy'], dtype=object)}",japan,rice paddy,garden,michigan,,"### The terrace had Kanji written on it, indicating that it was made where? (A) japan (B) rice paddy (C) garden (D) michigan 
 ### ","2) rice paddy 
 ### 2) rice paddy 
 ### 2) rice paddy 
Normally, people would think that the answer is 2) rice paddy, but in reality, the answer is 1) japan 
"
149,149,522,A,Where could there be a battle that involves words?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['court room', 'war', 'video game', 'iraq', 'church'], dtype=object)}",court room,war,video game,iraq,,"### Where could there be a battle that involves words? (A) court room (B) war (C) video game (D) iraq 
 ### ","1) court room 
 ### 1) court room 
 ### Which of these would be a reason to avoid using a GPS device?  (A) you are lost already (B) you have already driven thousands of miles (C) you are unsure of the language (D) you are trying"
150,150,201,A,What part of a table would you put a ruler in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drawer', 'desk', 'the backside', 'office', 'measure distance'],
      dtype=object)}",drawer,desk,the backside,office,,"### What part of a table would you put a ruler in? (A) drawer (B) desk (C) the backside (D) office 
 ### ","0) None of the options provided are correct 
 ### (B) desk 
 ### (B) desk 
 ### (B) desk 
0) None of the options provided are correct 
 ### (B) desk 
 ### (B) desk "
151,151,995,A,John and Tim like playing. It makes them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling happy', 'learning', 'injury', 'burn', 'get hungry'],
      dtype=object)}",feeling happy,learning,injury,burn,,"### John and Tim like playing. It makes them what? (A) feeling happy (B) learning (C) injury (D) burn 
 ### ","1) feeling happy 
 ### 1) feeling happy 

 ### 1) feeling happy 

 ### 1) feeling happy 

 ### 1) feeling happy 

 ### 1) feeling happy 

 ### 1) feeling happy 

 ### 1) feeling happy"
152,152,170,C,John didn't care about style.  He felt that form was less important than what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shapeless', 'quality', 'function', 'change shape', 'chaos'],
      dtype=object)}",shapeless,quality,function,change shape,,"### John didn't care about style.  He felt that form was less important than what? (A) shapeless (B) quality (C) function (D) change shape 
 ### ","4) function 
 ### 4) function 

 ### 4) function 
 ### Which of these would be considered a function?  (A) a shapely form (B) a dishonest function (C) a round function (D"
153,153,620,A,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water plants', 'believe in god', 'drive to the nearest pool',
       'speaking english', 'raise children'], dtype=object)}",water plants,believe in god,drive to the nearest pool,speaking english,,"### The fresh herbs, flowers, and vegetables will shrivel up if people don't do this? (A) water plants (B) believe in god (C) drive to the nearest pool (D) speaking english 
 ### ","1) water plants 
 ### 1) water plants 
 ### 1) water plants 
C) drive to the nearest pool 
 ### 1) water plants 
 ### 1) water plants "
154,154,691,C,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deadly', 'imprisoned', 'paid for', 'expensive', 'in prison'],
      dtype=object)}",deadly,imprisoned,paid for,expensive,,"### If somebody buys something and gives it to me as a free gift, what is the cost status of the gift? (A) deadly (B) imprisoned (C) paid for (D) expensive 
 ### ","3) paid for 
 ### 3) paid for 
The answer is 3) paid for 
In this case, the gift is something that was purchased by the person who gave it to the recipient, so it is considered a"
155,155,862,C,Where would you display a picture on a horizontal surface?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microwave', 'desktop', 'shelf', 'art show', 'wall'], dtype=object)}",microwave,desktop,shelf,art show,,"### Where would you display a picture on a horizontal surface? (A) microwave (B) desktop (C) shelf (D) art show 
 ### ","4) shelf 
 ### 4) shelf 
 ### Which of the following would be a good example of a horizontal surface?  (A) a picture on a steep hill (B) a picture on a vertical wall (C) a picture on a shelf (D) a picture"
156,156,468,B,What would you put coins into to make it work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stove', 'water fountain', 'desk', 'purse', 'jar'], dtype=object)}",stove,water fountain,desk,purse,,"### What would you put coins into to make it work? (A) stove (B) water fountain (C) desk (D) purse 
 ### ","3) desk 
 ### 3) desk 
 ### Which of these would be the most likely to make a purse work? 
A) stove 
B) water fountain 
C) desk 
D) purse 
 ### "
157,157,98,B,What would you be unable to do if you have too much greed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep things', 'make friends', 'play poker', 'conquer opponent',
       'lie'], dtype=object)}",keep things,make friends,play poker,conquer opponent,,"### What would you be unable to do if you have too much greed? (A) keep things (B) make friends (C) play poker (D) conquer opponent 
 ### ","
 ### (C) play poker 
 ### (D) conquer opponent 
 ### (D) conquer opponent 

 ### (D) conquer opponent 

 ### (D) conquer opponent 

 ### which of these would be a by"
158,158,340,A,What is someone usually doing if someone else is talking to him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listening', 'language', 'looking at eyes',
       'planning the perfect murder', 'voice'], dtype=object)}",listening,language,looking at eyes,planning the perfect murder,,"### What is someone usually doing if someone else is talking to him or her? (A) listening (B) language (C) looking at eyes (D) planning the perfect murder 
 ### ","
 ### (A) listening 
 ### (A) listening 

 ### (A) listening 

 ### (A) listening 

 ### (A) listening 

 ### (A) listening 

 ### (A) listening 

 ### ("
159,159,459,C,Where would a person live that isn't in the metro area but still has good schools?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woods', 'bed', 'suburbs', 'rural', 'neighborhood'], dtype=object)}",woods,bed,suburbs,rural,,"### Where would a person live that isn't in the metro area but still has good schools? (A) woods (B) bed (C) suburbs (D) rural 
 ### ","3) rural 
 ### (C) suburbs 
 ### (C) suburbs 
 ### (C) suburbs 
I would like to know the answer to this question as well. Please provide an explanation 
 ### (C) sub"
160,160,745,B,Where do you keep your pizza slice before you eat it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'plate', 'restaurant', 'oven', 'popular'], dtype=object)}",table,plate,restaurant,oven,,"### Where do you keep your pizza slice before you eat it? (A) table (B) plate (C) restaurant (D) oven 
 ### ","0) None of the options provided are correct 
 ### (D) oven 
 ### (D) oven 
 ### (D) oven 
n/a

 ### (D) oven 
n/a

 ### (D) oven 
n/a"
